Keyword,Country code,Location,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
south african premiership games,ZA,South Africa,"South African Premiership (Event), South African Premiership games (Event)","Sitelinks, Knowledge panel, Video preview",216000,48,0.18,16,0,36,https://www.betway.co.za/sport,,2025-09-23 2:09:04,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
daily lotto results for yesterday,ZA,South Africa,,"Top stories, Thumbnail, Video preview, People also ask",73000,60,0.01,92,0,24,https://www.betway.co.za/luckynumbers,,2025-09-08 15:05:56,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
betway premiership fixtures,ZA,South Africa,Betway Premiership (Event),"Knowledge panel, Video preview, Thumbnail, Sitelinks",61000,53,0.23,192,0,20,https://www.betway.co.za/sport,,2025-09-22 18:39:42,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
south africa national soccer team,ZA,South Africa,South Africa (Location),"Top stories, Thumbnail, People also ask, Knowledge panel, Sitelinks, Video preview",57000,6,0.13,0,0,77,https://www.betway.co.za/sport,,2025-09-23 0:03:01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
sportingbet login,ZA,South Africa,Sportingbet (Organization),,42000,78,0.03,0,0,38,https://www.betway.co.za/sport,,2025-09-08 14:51:55,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
uk teatime,ZA,South Africa,UK49s Teatime (Event),"Sitelinks, Video preview, People also ask",41000,71,0.03,0,0,51,https://www.betway.co.za/luckynumbers,,2025-09-23 1:47:31,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
south africa national soccer team games,ZA,South Africa,"South Africa national soccer team (Organization), South Africa (Location)","Sitelinks, Knowledge panel, Thumbnail, Video preview",41000,27,,0,0,54,https://www.betway.co.za/sport,,2025-09-21 13:22:39,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
betway premiership table,ZA,South Africa,Betway Premiership (Event),"People also ask, Knowledge panel, Thumbnail, Video preview, Sitelinks",31000,50,0.49,83,0,20,https://www.betway.co.za/sport,,2025-09-21 20:24:09,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
lottostar login password,ZA,South Africa,Lottostar (Organization),"Sitelinks, People also ask, Video preview",25000,67,0.3,34,0,23,https://www.betway.co.za/account/loginform,,2025-09-08 7:05:28,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywood login password,ZA,South Africa,Hollywoodbets (Organization),,24000,43,0.33,6,0,31,https://www.betway.co.za/account/loginform,,2025-09-08 14:41:19,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
uk 49 win,ZA,South Africa,UK 49s (Event),"Video preview, Thumbnail",17000,54,0.01,0,0,44,https://www.betway.co.za/luckynumbers,,2025-09-23 4:06:58,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywood register,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Video preview",17000,64,0.26,0,0,38,https://www.betway.co.za/account/loginform,,2025-09-23 2:10:26,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
moya app #datafree,ZA,South Africa,Moya App (Product),"People also ask, Video preview",16000,2,0.01,1,0,38,https://www.betway.co.za/datafree,,2025-09-09 0:03:51,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
psl reserve league standings,ZA,South Africa,PSL Reserve League (Event),"Knowledge panel, Sitelinks, People also ask, Thumbnail, Video preview",9800,6,,0,0,70,https://www.betway.co.za/sport,,2025-09-09 0:02:38,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywoodbets log in mobile,ZA,South Africa,Hollywoodbets (Organization),Sitelinks,9000,62,1.01,15,0,22,https://www.betway.co.za/,,2025-09-23 2:38:09,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
rc strasbourg alsace standings,ZA,South Africa,RC Strasbourg Alsace (Organization),Knowledge panel,8900,0,,0,0,60,https://new.betway.co.za/betting-rules-and-tips,,2025-09-22 23:12:56,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
download hollywoodbets app,ZA,South Africa,Hollywoodbets app (Product),"People also ask, Sitelinks, Video preview",8800,40,0.04,6,0,25,https://www.betway.co.za/Betway-App,,2025-09-23 1:46:52,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
chippa united games,ZA,South Africa,Chippa United (Organization),"Knowledge panel, Thumbnail, Video preview, People also ask",7500,0,,0,0,70,https://www.betway.co.za/sport/soccer/rsa/betway_premiership/polokwane_city-v-chippa_united/0,,2025-09-22 9:50:03,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
live soccer,ZA,South Africa,,"Sitelinks, Thumbnail, Video preview",7200,87,0.07,0,0,20,https://www.betway.co.za/Event/LiveSport,,2025-09-23 1:51:14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
uk49s win today,ZA,South Africa,UK 49s (Event),"Sitelinks, Video preview",7100,60,0.14,1,0,34,https://www.betway.co.za/luckynumbers,,2025-07-31 7:29:36,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
